County,State,FIPS Code,Formatted FIPS,"Estimated median value of an owner-occupied home, between 2015-2"
Bay,FL,12005,12005,178400
Bradford,FL,12007,12007,110800
Brevard,FL,12009,12009,196400
Broward,FL,12011,12011,265000
Calhoun,FL,12013,12013,85000
Charlotte,FL,12015,12015,195400
Citrus,FL,12017,12017,131500
Clay,FL,12019,12019,185400
Collier,FL,12021,12021,360800
Columbia,FL,12023,12023,124200
DeSoto,FL,12027,12027,87700
Dixie,FL,12029,12029,78500
Duval,FL,12031,12031,180700
Escambia,FL,12033,12033,146200
Flagler,FL,12035,12035,217500
Franklin,FL,12037,12037,166000
Gadsden,FL,12039,12039,96800
Gilchrist,FL,12041,12041,104800
Glades,FL,12043,12043,76700
Gulf,FL,12045,12045,160700
Hamilton,FL,12047,12047,80100
Hardee,FL,12049,12049,83400
Hendry,FL,12051,12051,94500
Hernando,FL,12053,12053,142500
Highlands,FL,12055,12055,108100
Hillsborough,FL,12057,12057,216300
Holmes,FL,12059,12059,92700
Indian River,FL,12061,12061,202300
Jackson,FL,12063,12063,99000
Jefferson,FL,12065,12065,133500
Lafayette,FL,12067,12067,104700
Lake,FL,12069,12069,181400
Lee,FL,12071,12071,224800
Leon,FL,12073,12073,203100
Levy,FL,12075,12075,105700
Liberty,FL,12077,12077,75100
Madison,FL,12079,12079,89100
Manatee,FL,12081,12081,238500
Marion,FL,12083,12083,139900
Martin,FL,12085,12085,273700
Miami-Dade,FL,12086,12086,289600
Monroe,FL,12087,12087,494100
Nassau,FL,12089,12089,230900
Okaloosa,FL,12091,12091,219100
Okeechobee,FL,12093,12093,106000
Orange,FL,12095,12095,235800
Osceola,FL,12097,12097,201000
Palm Beach,FL,12099,12099,283600
Pasco,FL,12101,12101,162100
Pinellas,FL,12103,12103,201200
Polk,FL,12105,12105,150800
Putnam,FL,12107,12107,89100
St. Johns,FL,12109,12109,304700
St. Lucie,FL,12111,12111,186900
Santa Rosa,FL,12113,12113,199200
Sarasota,FL,12115,12115,251600
Seminole,FL,12117,12117,242600
Sumter,FL,12119,12119,258600
Suwannee,FL,12121,12121,101300
Taylor,FL,12123,12123,85100
Union,FL,12125,12125,118400
Volusia,FL,12127,12127,175000
Wakulla,FL,12129,12129,144000
Walton,FL,12131,12131,229500
Washington,FL,12133,12133,113200
Appling,GA,13001,13001,80200
Atkinson,GA,13003,13003,62700
Bacon,GA,13005,13005,81100
Baker,GA,13007,13007,81800
Baldwin,GA,13009,13009,120300
Banks,GA,13011,13011,151100
Barrow,GA,13013,13013,159700
Bartow,GA,13015,13015,163900
Ben Hill,GA,13017,13017,83400
Berrien,GA,13019,13019,88000
Bibb,GA,13021,13021,120200
Bleckley,GA,13023,13023,102300
Brantley,GA,13025,13025,72300
Brooks,GA,13027,13027,107800
Bryan,GA,13029,13029,223900
Bulloch,GA,13031,13031,140700
Burke,GA,13033,13033,88700
Butts,GA,13035,13035,132600
Calhoun,GA,13037,13037,51500
Camden,GA,13039,13039,165700
Candler,GA,13043,13043,96100
Carroll,GA,13045,13045,137800
Catoosa,GA,13047,13047,144300
Charlton,GA,13049,13049,83300
Chatham,GA,13051,13051,194500
Chattahoochee,GA,13053,13053,71300
Chattooga,GA,13055,13055,72200
Cherokee,GA,13057,13057,253500
Clarke,GA,13059,13059,170700
Clay,GA,13061,13061,71400
Clayton,GA,13063,13063,108500
Clinch,GA,13065,13065,61000
Cobb,GA,13067,13067,253900
Coffee,GA,13069,13069,100600
Colquitt,GA,13071,13071,85600
Columbia,GA,13073,13073,203400
Cook,GA,13075,13075,87500
Coweta,GA,13077,13077,211600
Crawford,GA,13079,13079,93400
Crisp,GA,13081,13081,83100
Dade,GA,13083,13083,123500
Dawson,GA,13085,13085,230300
Decatur,GA,13087,13087,110900
DeKalb,GA,13089,13089,215600
Dodge,GA,13091,13091,76300
Dooly,GA,13093,13093,83300
Dougherty,GA,13095,13095,103500
Douglas,GA,13097,13097,161600
Early,GA,13099,13099,86900
Echols,GA,13101,13101,59100
Effingham,GA,13103,13103,163600
Elbert,GA,13105,13105,84700
Emanuel,GA,13107,13107,73100
Evans,GA,13109,13109,87900
Fannin,GA,13111,13111,197800
Fayette,GA,13113,13113,281400
Floyd,GA,13115,13115,132400
Forsyth,GA,13117,13117,339700
Franklin,GA,13119,13119,108700
Fulton,GA,13121,13121,313300
Gilmer,GA,13123,13123,177500
Glascock,GA,13125,13125,81700
Glynn,GA,13127,13127,179000
Gordon,GA,13129,13129,136000
Grady,GA,13131,13131,119800
Greene,GA,13133,13133,210300
Gwinnett,GA,13135,13135,217900
Habersham,GA,13137,13137,150500
Hall,GA,13139,13139,201300
Hancock,GA,13141,13141,85000
Haralson,GA,13143,13143,124200
Harris,GA,13145,13145,217000
Hart,GA,13147,13147,137700
Heard,GA,13149,13149,109000
Henry,GA,13151,13151,175300
Houston,GA,13153,13153,142600
Irwin,GA,13155,13155,79800
Jackson,GA,13157,13157,189700
Jasper,GA,13159,13159,139400
Jeff Davis,GA,13161,13161,79800
Jefferson,GA,13163,13163,72500
Jenkins,GA,13165,13165,74500
Johnson,GA,13167,13167,64100
Jones,GA,13169,13169,124100
Lamar,GA,13171,13171,145600
Lanier,GA,13173,13173,114900
Laurens,GA,13175,13175,94600
Lee,GA,13177,13177,152800
Liberty,GA,13179,13179,124500
Lincoln,GA,13181,13181,127700
Long,GA,13183,13183,122100
Lowndes,GA,13185,13185,140600
Lumpkin,GA,13187,13187,185800
McDuffie,GA,13189,13189,109500
McIntosh,GA,13191,13191,128000
Macon,GA,13193,13193,63800
Madison,GA,13195,13195,131300
Marion,GA,13197,13197,90000
Meriwether,GA,13199,13199,103300
Miller,GA,13201,13201,89400
Mitchell,GA,13205,13205,85400
Monroe,GA,13207,13207,166900
Montgomery,GA,13209,13209,84000
Morgan,GA,13211,13211,229000
Murray,GA,13213,13213,108300
Muscogee,GA,13215,13215,141300
Newton,GA,13217,13217,151800
Oconee,GA,13219,13219,286600
Oglethorpe,GA,13221,13221,118500
Paulding,GA,13223,13223,173600
Peach,GA,13225,13225,135100
Pickens,GA,13227,13227,200200
Pierce,GA,13229,13229,104400
Pike,GA,13231,13231,173000
Polk,GA,13233,13233,110700
Pulaski,GA,13235,13235,120100
Putnam,GA,13237,13237,160400
Quitman,GA,13239,13239,59900
Rabun,GA,13241,13241,174500
Randolph,GA,13243,13243,71900
Richmond,GA,13245,13245,108000
Rockdale,GA,13247,13247,163900
Schley,GA,13249,13249,125300
Screven,GA,13251,13251,81200
Seminole,GA,13253,13253,81100
Spalding,GA,13255,13255,122800
Stephens,GA,13257,13257,105300
Stewart,GA,13259,13259,49200
Sumter,GA,13261,13261,95700
Talbot,GA,13263,13263,86400
Taliaferro,GA,13265,13265,80200
Tattnall,GA,13267,13267,89200
Taylor,GA,13269,13269,83600
Telfair,GA,13271,13271,64600
Terrell,GA,13273,13273,92100
Thomas,GA,13275,13275,146800
Tift,GA,13277,13277,118100
Toombs,GA,13279,13279,95300
Towns,GA,13281,13281,230500
Treutlen,GA,13283,13283,69400
Troup,GA,13285,13285,136700
Turner,GA,13287,13287,79700
Twiggs,GA,13289,13289,65100
Union,GA,13291,13291,196500
Upson,GA,13293,13293,93300
Walker,GA,13295,13295,120600
Walton,GA,13297,13297,190300
Ware,GA,13299,13299,83100
Warren,GA,13301,13301,66200
Washington,GA,13303,13303,84800
Wayne,GA,13305,13305,105400
Webster,GA,13307,13307,65700
Wheeler,GA,13309,13309,58800
White,GA,13311,13311,176300
Whitfield,GA,13313,13313,133400
Wilcox,GA,13315,13315,61800
Wilkes,GA,13317,13317,87200
Wilkinson,GA,13319,13319,70700
Worth,GA,13321,13321,98700
Hawaii,HI,15001,15001,350000
Honolulu,HI,15003,15003,678200
Kalawao,HI,15005,15005,N/A
Kauai,HI,15007,15007,570700
Maui,HI,15009,15009,633500
Ada,ID,16001,16001,270800
Adams,ID,16003,16003,215500
Bannock,ID,16005,16005,160000
Bear Lake,ID,16007,16007,149800
Benewah,ID,16009,16009,167000
Bingham,ID,16011,16011,160100
Blaine,ID,16013,16013,428900
Boise,ID,16015,16015,232300
Bonner,ID,16017,16017,254200
Bonneville,ID,16019,16019,181200
Boundary,ID,16021,16021,205000
Butte,ID,16023,16023,128900
Camas,ID,16025,16025,183300
Canyon,ID,16027,16027,178300
Caribou,ID,16029,16029,145900
Cassia,ID,16031,16031,162100
Clark,ID,16033,16033,98100
Clearwater,ID,16035,16035,155900
Custer,ID,16037,16037,191600
Elmore,ID,16039,16039,153800
Franklin,ID,16041,16041,211900
Fremont,ID,16043,16043,169900
Gem,ID,16045,16045,168700
Gooding,ID,16047,16047,157800
Idaho,ID,16049,16049,173200
Jefferson,ID,16051,16051,203700
Jerome,ID,16053,16053,164600
Kootenai,ID,16055,16055,260300
Latah,ID,16057,16057,228200
Lemhi,ID,16059,16059,177000
Lewis,ID,16061,16061,132300
Lincoln,ID,16063,16063,145600
Madison,ID,16065,16065,219100
Minidoka,ID,16067,16067,149600
Nez Perce,ID,16069,16069,191500
Oneida,ID,16071,16071,167100
Owyhee,ID,16073,16073,147800
Payette,ID,16075,16075,165600
Power,ID,16077,16077,151300
Shoshone,ID,16079,16079,127900
Teton,ID,16081,16081,346600
Twin Falls,ID,16083,16083,166800
Valley,ID,16085,16085,314800
Washington,ID,16087,16087,148900
Adams,IL,17001,17001,127800
Alexander,IL,17003,17003,56000
Bond,IL,17005,17005,119700
Boone,IL,17007,17007,153400
Brown,IL,17009,17009,96200
Bureau,IL,17011,17011,111700
Calhoun,IL,17013,17013,121000
Carroll,IL,17015,17015,106100
Cass,IL,17017,17017,80800
Champaign,IL,17019,17019,162100
Christian,IL,17021,17021,90900
Clark,IL,17023,17023,92500
Clay,IL,17025,17025,84500
Clinton,IL,17027,17027,146200
Coles,IL,17029,17029,100500
Cook,IL,17031,17031,246600
Crawford,IL,17033,17033,87800
Cumberland,IL,17035,17035,105800
DeKalb,IL,17037,17037,173100
De Witt,IL,17039,17039,99500
Douglas,IL,17041,17041,111400
DuPage,IL,17043,17043,308500
Edgar,IL,17045,17045,82800
Edwards,IL,17047,17047,79300
Effingham,IL,17049,17049,143600
Fayette,IL,17051,17051,88300
Ford,IL,17053,17053,98300
Franklin,IL,17055,17055,76100
Fulton,IL,17057,17057,88600
Gallatin,IL,17059,17059,73900
Greene,IL,17061,17061,81000
Grundy,IL,17063,17063,199300
Hamilton,IL,17065,17065,93500
Hancock,IL,17067,17067,85600
Hardin,IL,17069,17069,80500
Henderson,IL,17071,17071,92000
Henry,IL,17073,17073,119200
Iroquois,IL,17075,17075,102800
Jackson,IL,17077,17077,108600
Jasper,IL,17079,17079,99500
Jefferson,IL,17081,17081,96700
Jersey,IL,17083,17083,147900
Jo Daviess,IL,17085,17085,149100
Johnson,IL,17087,17087,109500
Kane,IL,17089,17089,238300
Kankakee,IL,17091,17091,147900
Kendall,IL,17093,17093,235600
Knox,IL,17095,17095,83000
Lake,IL,17097,17097,265100
LaSalle,IL,17099,17099,127200
Lawrence,IL,17101,17101,78400
Lee,IL,17103,17103,119900
Livingston,IL,17105,17105,109400
Logan,IL,17107,17107,103200
McDonough,IL,17109,17109,91800
McHenry,IL,17111,17111,224500
McLean,IL,17113,17113,167000
Macon,IL,17115,17115,98400
Macoupin,IL,17117,17117,100600
Madison,IL,17119,17119,135600
Marion,IL,17121,17121,77900
Marshall,IL,17123,17123,104900
Mason,IL,17125,17125,83000
Massac,IL,17127,17127,83600
Menard,IL,17129,17129,146900
Mercer,IL,17131,17131,107600
Monroe,IL,17133,17133,211300
Montgomery,IL,17135,17135,84100
Morgan,IL,17137,17137,110100
Moultrie,IL,17139,17139,107400
Ogle,IL,17141,17141,146900
Peoria,IL,17143,17143,129800
Perry,IL,17145,17145,86500
Piatt,IL,17147,17147,138600
Pike,IL,17149,17149,85400
Pope,IL,17151,17151,93000
Pulaski,IL,17153,17153,61300
Putnam,IL,17155,17155,126800
Randolph,IL,17157,17157,110200
Richland,IL,17159,17159,89600
Rock Island,IL,17161,17161,119400
St. Clair,IL,17163,17163,128000
Saline,IL,17165,17165,73800
Sangamon,IL,17167,17167,141200
Schuyler,IL,17169,17169,86600
Scott,IL,17171,17171,89200
Shelby,IL,17173,17173,96500
Stark,IL,17175,17175,87700
Stephenson,IL,17177,17177,97800
Tazewell,IL,17179,17179,142000
Union,IL,17181,17181,109900
Vermilion,IL,17183,17183,79900
Wabash,IL,17185,17185,82800
Warren,IL,17187,17187,83900
Washington,IL,17189,17189,113500
Wayne,IL,17191,17191,86400
White,IL,17193,17193,71500
Whiteside,IL,17195,17195,106700
Will,IL,17197,17197,232000
Williamson,IL,17199,17199,114900
Winnebago,IL,17201,17201,120400
Woodford,IL,17203,17203,168700
Adams,IN,18001,18001,129300
Allen,IN,18003,18003,129300
Bartholomew,IN,18005,18005,153500
Benton,IN,18007,18007,92500
Blackford,IN,18009,18009,70600
Boone,IN,18011,18011,233700
Brown,IN,18013,18013,191700
Carroll,IN,18015,18015,131700
Cass,IN,18017,18017,89300
Clark,IN,18019,18019,142800
Clay,IN,18021,18021,101400
Clinton,IN,18023,18023,111500
Crawford,IN,18025,18025,91900
Daviess,IN,18027,18027,130000
Dearborn,IN,18029,18029,170400
Decatur,IN,18031,18031,134400
DeKalb,IN,18033,18033,124300
Delaware,IN,18035,18035,93600
Dubois,IN,18037,18037,156500
Elkhart,IN,18039,18039,144300
Fayette,IN,18041,18041,81900
Floyd,IN,18043,18043,171400
Fountain,IN,18045,18045,103000
Franklin,IN,18047,18047,160200
Fulton,IN,18049,18049,103600
Gibson,IN,18051,18051,116100
Grant,IN,18053,18053,92700
Greene,IN,18055,18055,97600
Hamilton,IN,18057,18057,263300
Hancock,IN,18059,18059,169300
Harrison,IN,18061,18061,151900
Hendricks,IN,18063,18063,191700
Henry,IN,18065,18065,100400
Howard,IN,18067,18067,109500
Huntington,IN,18069,18069,107200
Jackson,IN,18071,18071,125300
Jasper,IN,18073,18073,159700
Jay,IN,18075,18075,91400
Jefferson,IN,18077,18077,132900
Jennings,IN,18079,18079,109800
Johnson,IN,18081,18081,164600
Knox,IN,18083,18083,96800
Kosciusko,IN,18085,18085,150000
LaGrange,IN,18087,18087,195900
Lake,IN,18089,18089,149500
LaPorte,IN,18091,18091,132600
Lawrence,IN,18093,18093,117400
Madison,IN,18095,18095,97300
Marion,IN,18097,18097,136700
Marshall,IN,18099,18099,138700
Martin,IN,18101,18101,117100
Miami,IN,18103,18103,88700
Monroe,IN,18105,18105,175600
Montgomery,IN,18107,18107,125700
Morgan,IN,18109,18109,160700
Newton,IN,18111,18111,118400
Noble,IN,18113,18113,125800
Ohio,IN,18115,18115,151200
Orange,IN,18117,18117,94700
Owen,IN,18119,18119,117600
Parke,IN,18121,18121,88900
Perry,IN,18123,18123,111500
Pike,IN,18125,18125,93400
Porter,IN,18127,18127,185400
Posey,IN,18129,18129,144200
Pulaski,IN,18131,18131,102700
Putnam,IN,18133,18133,128800
Randolph,IN,18135,18135,81200
Ripley,IN,18137,18137,152100
Rush,IN,18139,18139,112600
St. Joseph,IN,18141,18141,129000
Scott,IN,18143,18143,103000
Shelby,IN,18145,18145,133200
Spencer,IN,18147,18147,127700
Starke,IN,18149,18149,115500
Steuben,IN,18151,18151,148800
Sullivan,IN,18153,18153,86000
Switzerland,IN,18155,18155,116400
Tippecanoe,IN,18157,18157,153000
Tipton,IN,18159,18159,116000
Union,IN,18161,18161,116300
Vanderburgh,IN,18163,18163,129000
Vermillion,IN,18165,18165,79700
Vigo,IN,18167,18167,97500
Wabash,IN,18169,18169,100500
Warren,IN,18171,18171,122100
Warrick,IN,18173,18173,168200
Washington,IN,18175,18175,118100
Wayne,IN,18177,18177,100500
Wells,IN,18179,18179,127600
White,IN,18181,18181,113500
Whitley,IN,18183,18183,143100
Adair,IA,19001,19001,104600
Adams,IA,19003,19003,87500
Allamakee,IA,19005,19005,130400
Appanoose,IA,19007,19007,81400
Audubon,IA,19009,19009,79500
Benton,IA,19011,19011,157200
Black Hawk,IA,19013,19013,147500
Boone,IA,19015,19015,132700
Bremer,IA,19017,19017,165700
Buchanan,IA,19019,19019,142500
Buena Vista,IA,19021,19021,115600
Butler,IA,19023,19023,116700
Calhoun,IA,19025,19025,82000
Carroll,IA,19027,19027,138900
Cass,IA,19029,19029,102100
Cedar,IA,19031,19031,156000
Cerro Gordo,IA,19033,19033,128600
Cherokee,IA,19035,19035,106700
Chickasaw,IA,19037,19037,119100
